athlete_id,athlete_display_name,team_id,position
4685671,Jayden Hastings,103,F
5151855,Luka Toews,103,G
5105543,Aidan Shaw,103,G
4684268,Fred Payne,103,G
4683629,Donald Hand Jr.,103,G
5103631,Boden Kapke,103,F
5309819,Marko Radunovic,103,G
5196919,Caleb Steger,103,G
4706918,Chase Forte,103,G
5239489,Jason Asemota,103,F
5144146,Jack Bailey,103,F
5061602,Kany Tchanda,103,F
5238156,Will Eggemeier,103,G
5238155,Nick Petronio,103,G
5210830,Akbar Waheed III,103,G
5183069,Jack DiDonna,103,G
4684627,Chris Bell,25,F
4684155,John Camden,25,F
4683672,Lee Dort,25,F
5196370,Justin Pippen,25,G
4845373,Dai Dai Ames,25,G
4897890,Milos Ilic,25,C
5164560,Semetri Carr,25,G
4703253,Nolan Dorsey,25,G
5176804,Dhiaukuei Manyiel Dut,25,F
5113388,Rytis Petraitis,25,F
5061606,Sammie Yeanay,25,F
5239840,Mantas Kocanas,25,C
5311533,Luke Butler,25,G
5311532,Jorell Clark,25,G
5245385,BJ Fisher,25,G
5238159,Stephon Marbury II,25,G
5107343,DeJuan Campbell,25,G
5041956,Jovani Ruff,25,G
5176397,Carter Welling,228,F
5174977,Jake Wahlin,228,F
5105449,RJ Godfrey,228,F
5106880,Jestin Porter,228,G
5105445,Dillon Hunter,228,G
5196962,Chase Thompson,228,F
4869781,Dallas Thomas,228,F
4699440,Nick Davidson,228,F
5179085,Ace Buckner,228,G
5107144,Butta Johnson,228,G
5311534,Blake Davidson,228,F
5196959,Trent Steinour,228,F
5237299,Zac Foster,228,G
5041935,Cameron Boozer,150,F
4873209,Patrick Ngongba II,150,C
5061585,Isaiah Evans,150,G
5041937,Cayden Boozer,150,G
4711256,Caleb Foster,150,G
5105337,Maliq Brown,150,F
5287474,Dame Sarr,150,G
5144124,Nikolas Khamenia,150,G
4873107,Darren Harris,150,G
5107141,Ifeanyi Ufochukwu,150,C
5144150,Sebastian Wilkins,150,G
4888720,Jack Scott,150,G
4432321,Cameron Sheffield,150,G
5316049,Alex Steen,52,F
5105448,Chauncey Wiggins,52,F
5239821,Martin Somerville,52,G
5108969,Lajae Jones,52,G
4685802,Robert McCray V,52,G
5316047,Thomas Bassong,52,F
5238166,Alier Maluk,52,F
4873208,AJ Swinton,52,F
5316046,Cam Miles,52,G
5105779,Kobe MaGee,52,G
5114231,Shah Muhammad,52,F
5316048,Xavier Osceola,52,G
5316045,Maximo Garcia-Plata,52,G
5238165,Jalen Crawford,52,G
5311967,Sananda Fru,97,F
5242127,Adrian Wooley,97,G
5107157,Ryan Conwell,97,G
4712845,Isaac McKneely,97,G
4702784,J'Vonne Hadley,97,G
5311969,Vangelis Zougris,97,F
4873187,Khani Rooths,97,F
